% ITASE_2000_4					
% Water isotope data from the University of Washington					
% Eric J. Steig and David P. Schneider					
%					
% Citation:					
% Steig EJ, Ding Q, White JCW, Kuettel M, Rupper SB, Neumann TA, Neff PD,					
% Gallant AJE, Mayewski PA, Taylor KC, Hoffmann G, Dixon DA, Schoenemann S, Markle BM, 					
% Schneider DP, Fudge TJ, Schauer AJ, Teel RP, Vaughn B, Burgener L, Williams J,					
% Korotkikh E. Recent climate and ice-sheet changes in West Antarctica compared					
% with the past 2000 years. Nature Geoscience 6: 372-375, doi: 10.1038/NGEO1778 (2013).					
%					
% Depths are given in meters. Age in calendar years.					
% Ages refer to nominal Jan 1st (that is, 2000.0 means midnight of Dec 31, 1999)					
%					
% Isotope ratios are normalized on the V-SMOW / SLAP scale.					
% Precision is <0.1 per mil and <1 per mil for d18O and delD, respectively.  Analysis via CO2 equilibration (d18O), reduction on Cr (dD) or laser spectroscopy (dD).					
%					
% Core ITASE_2000_4, Location 120.0764 W, 78.0829 S, elevation 1697 m					
% Core depth = 58 m.  Analyzed to 20 m.					
%					
% Depth_top	Depth_bottom	Age_top	Age_bottom	dD (per mil)	d18O (per mil)
4.970956	5.000633	1990.2665	1990.1972	-289.914083	-36.397782
5.000633	5.03031	1990.1972	1990.1278	-279.087724	-35.140352
5.03031	5.059987	1990.1278	1990.0585	-265.103902	-33.61075
5.059987	5.085	1990.0585	1990	-253.386114	-32.404201
5.085	5.114697	1990	1989.909	-238.672646	-30.685897
5.114697	5.144394	1989.909	1989.8179	-232.453271	-30.116785
5.144394	5.174091	1989.8179	1989.7269	-233.013536	-29.99611
5.174091	5.203788	1989.7269	1989.6359	-239.358862	-30.623314
5.203788	5.233485	1989.6359	1989.5448	-250.990873	-31.670509
5.233485	5.263182	1989.5448	1989.4538	-263.722784	-33.114942
5.263182	5.292879	1989.4538	1989.3628	-275.71962	-34.50068
5.292879	5.322576	1989.3628	1989.2718	-285.952054	-35.502962
5.322576	5.352273	1989.2718	1989.1807	-289.532972	-36.064725
5.352273	5.38197	1989.1807	1989.0897	-285.702324	-35.7978
5.38197	5.411667	1989.0897	1988.9992	-274.948712	-34.842762
5.411667	5.441364	1988.9992	1988.9423	-265.30803	-33.768767
5.441364	5.471061	1988.9423	1988.8854	-260.640241	-33.157861
5.471061	5.500758	1988.8854	1988.8285	-260.165754	-32.954943
5.500758	5.530455	1988.8285	1988.7716	-262.93559	-33.114707
5.530455	5.560152	1988.7716	1988.7147	-265.451354	-33.474941
5.560152	5.589849	1988.7147	1988.6578	-269.301546	-33.656512
5.589849	5.619546	1988.6578	1988.6009	-274.040997	-34.348471
5.619546	5.649243	1988.6009	1988.544	-274.556744	-34.412542
5.649243	5.67894	1988.544	1988.4871	-271.964976	-34.194295
5.67894	5.708637	1988.4871	1988.4302	-266.682634	-33.500808
5.708637	5.738334	1988.4302	1988.3733	-259.330786	-32.659379
5.738334	5.768031	1988.3733	1988.3164	-250.449067	-31.745754
5.768031	5.797728	1988.3164	1988.2595	-244.039679	-31.071079
5.797728	5.827425	1988.2595	1988.2026	-240.403387	-30.665076
5.827425	5.857122	1988.2026	1988.1457	-242.472892	-30.738727
5.857122	5.886819	1988.1457	1988.0889	-247.826896	-31.280689
5.886819	5.916516	1988.0889	1988.032	-255.596771	-32.169967
5.916516	5.946213	1988.032	1987.9501	-263.074571	-32.956452
5.946213	5.97591	1987.9501	1987.8363	-266.570798	-33.574777
5.97591	6.005607	1987.8363	1987.7225	-270.236406	-34.049763
6.005607	6.035304	1987.7225	1987.6088	-274.744076	-34.654805
6.035304	6.065	1987.6088	1987.495	-279.08655	-35.049261
6.08	6.1094286	1987.4375	1987.3446	-284.699096	-35.555576
6.1094286	6.1388572	1987.3446	1987.2518	-282.801563	-35.509566
6.1388572	6.1682858	1987.2518	1987.1589	-278.513179	-35.079514
6.1682858	6.1977144	1987.1589	1987.0661	-274.611011	-34.560126
6.1977144	6.227143	1987.0661	1986.9748	-274.603439	-34.423695
6.227143	6.2565716	1986.9748	1986.8874	-277.35562	-34.636617
6.2565716	6.2860002	1986.8874	1986.8	-283.273241	-35.229861
6.2860002	6.3154288	1986.8	1986.7126	-287.35283	-35.589375
6.3154288	6.3448574	1986.7126	1986.6252	-288.68132	-35.826983
6.3448574	6.374286	1986.6252	1986.5378	-285.463951	-35.628723
6.374286	6.4037146	1986.5378	1986.4504	-281.656984	-35.219219
6.4037146	6.4331432	1986.4504	1986.363	-274.411954	-34.504402
6.4331432	6.4625718	1986.363	1986.2756	-269.102321	-33.898217
6.4625718	6.4920004	1986.2756	1986.1882	-263.034325	-33.182534
6.4920004	6.521429	1986.1882	1986.1008	-258.364056	-32.702706
6.521429	6.5508576	1986.1008	1986.0134	-258.480894	-32.707566
6.5508576	6.5802862	1986.0134	1985.9214	-264.116157	-33.349733
6.5802862	6.6097148	1985.9214	1985.8286	-274.724604	-34.420768
6.6097148	6.6391434	1985.8286	1985.7357	-283.90395	-35.494494
6.6391434	6.668572	1985.7357	1985.6429	-289.963291	-36.087441
6.668572	6.6980006	1985.6429	1985.55	-286.595547	-35.973847
6.6980006	6.7274292	1985.55	1985.4571	-280.228966	-35.37161
6.7274292	6.7568578	1985.4571	1985.3643	-272.021105	-34.520704
6.7568578	6.7862864	1985.3643	1985.2714	-264.185395	-33.731337
6.7862864	6.815715	1985.2714	1985.1786	-255.809851	-32.659536
6.815715	6.8451436	1985.1786	1985.0857	-249.959303	-32.057053
6.8451436	6.8745722	1985.0857	1984.9936	-250.475336	-31.920045
6.8745722	6.9040008	1984.9936	1984.9111	-252.647655	-32.202561
6.9040008	6.9334294	1984.9111	1984.8286	-257.616511	-32.838052
6.9334294	6.962858	1984.8286	1984.746	-266.101319	-33.457158
6.962858	6.9922866	1984.746	1984.6635	-269.788203	-33.962935
6.9922866	7.0217152	1984.6635	1984.581	-271.735502	-34.251718
7.0217152	7.0511438	1984.581	1984.4984	-273.378804	-34.438691
7.0511438	7.0805724	1984.4984	1984.4159	-274.233452	-34.582406
7.0805724	7.11	1984.4159	1984.3333	-274.940969	-34.609915
