% ITASE_2000_5					
% Water isotope data from the University of Washington					
% Eric J. Steig and David P. Schneider					
%					
% Citation:					
% Steig EJ, Ding Q, White JCW, Kuettel M, Rupper SB, Neumann TA, Neff PD,					
% Gallant AJE, Mayewski PA, Taylor KC, Hoffmann G, Dixon DA, Schoenemann S, Markle BM, 					
% Schneider DP, Fudge TJ, Schauer AJ, Teel RP, Vaughn B, Burgener L, Williams J,					
% Korotkikh E. Recent climate and ice-sheet changes in West Antarctica compared					
% with the past 2000 years. Nature Geoscience 6: 372-375, doi: 10.1038/NGEO1778 (2013).					
%					
% Depths are given in meters. Age in calendar years.					
% Ages refer to nominal Jan 1st (that is, 2000.0 means midnight of Dec 31, 1999)					
%					
% Isotope ratios are normalized on the V-SMOW / SLAP scale.					
% Precision is <0.1 per mil and <1 per mil for d18O and delD, respectively.  Analysis via CO2 equilibration (d18O), reduction on Cr (dD) or laser spectroscopy (dD).					
%					
% Core ITASE_2000_5, Location 123.995 W, 77.683 S, 1828 m					
%					
% Core depth = 60 m.  Analyzed to 60 m.					
%					
% '999999' = no data					
%					
% Depth_top	Depth_bottom	Age_top	Age_bottom	d18O (per mil)	dD (per mil)
6.775	6.804	1978.4562	1978.2996	-35.21	-279.71
6.804	6.834	1978.2996	1978.1429	-32.61	-271.09
6.834	6.864	1978.1429	1977.992	-34.08	-270.66
6.864	6.894	1977.992	1977.893	-34.32	-272.32
6.894	6.924	1977.893	1977.7941	-34.94	-279.81
6.924	6.954	1977.7941	1977.6952	-35.82	-285.21
6.954	6.984	1977.6952	1977.5963	-36.49	-293.02
6.984	7.014	1977.5963	1977.4973	-36.32	-295.79
7.014	7.044	1977.4973	1977.3984	-37.19	-297.02
7.044	7.074	1977.3984	1977.2995	-37.07	-292.84
7.074	7.104	1977.2995	1977.2005	-36.58	-291.15
7.104	7.134	1977.2005	1977.1016	-36.26	-286.29
7.134	7.164	1977.1016	1977.0027	-35.74	-284.25
7.164	7.194	1977.0027	1976.8824	-36.1	-284.68
7.194	7.224	1976.8824	1976.7614	-36.1	-284.49
7.224	7.254	1976.7614	1976.6405	-36.27	-286.14
7.254	7.284	1976.6405	1976.5196	-36.07	-286.03
7.284	7.314	1976.5196	1976.3987	-35.91	-283.35
7.314	7.344	1976.3987	1976.2778	-34.79	-277.65
7.344	7.374	1976.2778	1976.1569	-34.57	-269.89
7.374	7.404	1976.1569	1976.0359	-33.58	-264.83
7.404	7.434	1976.0359	1975.9044	-33.35	-260.08
7.434	7.464	1975.9044	1975.7684	-33.26	-259.37
7.464	7.494	1975.7684	1975.6324	-33.56	-263.19
7.494	7.524	1975.6324	1975.4963	-33.95	-267.32
7.524	7.554	1975.4963	1975.3603	-33.5	-271.45
7.554	7.584	1975.3603	1975.2243	-34.38	-275.27
7.584	7.614	1975.2243	1975.0882	-34.1	-274.31
7.614	7.644	1975.0882	1974.9618	-33.67	-268.21
7.644	7.674	1974.9618	1974.8529	-33.05	-264.4
7.674	7.704	1974.8529	1974.7441	-32.44	-259.29
7.704	7.734	1974.7441	1974.6353	-31.91	-253.47
7.734	7.764	1974.6353	1974.5265	-31.46	-250.76
7.764	7.794	1974.5265	1974.4176	-31.05	-250.09
7.794	7.824	1974.4176	1974.3088	-31.34	-252.29
7.824	7.854	1974.3088	1974.2	-31.7	-253.84
7.854	7.884	1974.2	1974.0484	-32.45	-261.17
7.884	7.915	1974.0484	1973.871	-33.05	-266.03
7.915	7.945	1973.871	1973.6815	-33.09	-268.99
7.945	7.975	1973.6815	1973.492	-32.46	-270.07
7.975	8.006	1973.492	1973.3024	-33.86	-271.22
8.006	8.036	1973.3024	1973.1129	-33.73	-269.28
8.036	8.066	1973.1129	1972.9489	-33.67	-266.4
8.066	8.097	1972.9489	1972.8226	-33.44	-264.66
8.097	8.127	1972.8226	1972.6963	-33.36	-264.29
8.127	8.157	1972.6963	1972.5699	-33.28	-262.75
8.157	8.188	1972.5699	1972.4436	-32.62	-260.95
8.188	8.218	1972.4436	1972.3172	-32.95	-259.23
8.218	8.248	1972.3172	1972.1909	-32.85	-257.34
8.248	8.279	1972.1909	1972.0645	-32.83	-257.9
8.279	8.309	1972.0645	1971.9382	-32.56	-257.88
8.309	8.339	1971.9382	1971.8119	-34.12	-266.93
8.339	8.369	1971.8119	1971.6855	-35.01	-275.83
8.369	8.4	1971.6855	1971.5592	-35.95	-285.54
8.4	8.43	1971.5592	1971.4328	-36.24	-287.85
8.43	8.46	1971.4328	1971.3065	-36.26	-289.52
8.46	8.491	1971.3065	1971.1802	-35.31	-284.95
8.491	8.521	1971.1802	1971.0538	-34.98	-278.88
8.521	8.551	1971.0538	1970.942	-34.6	-273.58
8.551	8.582	1970.942	1970.8409	-32.96	-268.78
8.582	8.612	1970.8409	1970.7398	-33.74	-268.68
8.612	8.642	1970.7398	1970.6388	-33.42	-267.25
8.642	8.673	1970.6388	1970.5377	-33.8	-268.2
8.673	8.703	1970.5377	1970.4366	-33.85	-266.73
8.703	8.733	1970.4366	1970.3355	-33.72	-264.96
8.733	8.764	1970.3355	1970.2345	-33.03	-263.26
8.764	8.794	1970.2345	1970.1333	-33.42	-264.02
8.794	8.824	1970.1333	1970.0375	-33.63	-263.53
8.824	8.854	1970.0375	1969.9271	-32.74	-265.23
8.854	8.884	1969.9271	1969.8073	-34.05	-268.77
8.884	8.915	1969.8073	1969.6875	-34.03	-270.01
8.915	8.945	1969.6875	1969.5677	-33.65	-266.08
8.945	8.975	1969.5677	1969.4479	-33.5	-262.44
8.975	9.005	1969.4479	1969.3281	-32.03	-258.6
9.005	9.035	1969.3281	1969.2083	-32.32	-253.08
9.035	9.065	1969.2083	1969.0885	-32.17	-250.44
9.065	9.096	1969.0885	1968.9712	-31.95	-248.92
9.096	9.126	1968.9712	1968.8606	-32.18	-251.66
9.126	9.156	1968.8606	1968.75	-32.41	-255.1
9.156	9.186	1968.75	1968.6394	-32.53	-257.65
9.186	9.216	1968.6394	1968.5288	-32.48	-257.78
9.216	9.246	1968.5288	1968.4183	-32.38	-253.66
9.246	9.276	1968.4183	1968.3077	-31.8	-248.96
9.276	9.307	1968.3077	1968.1971	-31.12	-242.05
9.307	9.337	1968.1971	1968.0865	-30.65	-236.7
9.337	9.367	1968.0865	1967.9716	-30.58	-237.04
9.367	9.397	1967.9716	1967.8409	-30.84	-241.56
9.397	9.427	1967.8409	1967.7102	-31.76	-248.63
9.427	9.457	1967.7102	1967.5795	-32.89	-258.87
9.457	9.488	1967.5795	1967.4489	-34.2	-270.75
9.488	9.518	1967.4489	1967.3182	-35.17	-280.07
9.518	9.548	1967.3182	1967.1875	-36.16	-288.69
9.548	9.578	1967.1875	1967.0568	-36.57	-293.26
9.578	9.608	1967.0568	1966.9188	-37.32	-296.86
9.608	9.638	1966.9188	1966.775	-37.52	-296.6
9.638	9.669	1966.775	1966.6313	-37.43	-297.88
9.669	9.699	1966.6313	1966.4875	-36.91	-293.43
9.699	9.729	1966.4875	1966.3437	-36.34	-288.45
9.729	9.759	1966.3437	1966.2	999999	-278.3
9.759	9.788	1966.2	1966.1161	-34.68	-271.99
9.788	9.817	1966.1161	1966.0323	-34.25	-268.18
9.817	9.847	1966.0323	1965.914	-33.93	-265.5
9.847	9.876	1965.914	1965.7742	-33.74	-265.76
9.876	9.905	1965.7742	1965.6344	-33.74	-267.63
9.905	9.934	1965.6344	1965.4946	-33.79	-265.45
9.934	9.964	1965.4946	1965.3548	-33.01	-265.56
9.964	9.993	1965.3548	1965.2151	-33.27	-259.66
9.993	10.022	1965.2151	1965.0753	-31.69	-254.76
10.022	10.051	1965.0753	1964.9226	-32.49	-253.62
10.051	10.08	1964.9226	1964.7548	-30.14	-250.24
10.08	10.11	1964.7548	1964.5871	-32.45	-253.92
10.11	10.139	1964.5871	1964.4194	-32.94	-258.85
10.139	10.168	1964.4194	1964.2516	-33.56	-266.78
10.168	10.197	1964.2516	1964.0839	-34.17	-272.3
10.197	10.227	1964.0839	1963.9534	-34.36	-275.09
10.227	10.256	1963.9534	1963.8602	-34.72	-277.5
10.256	10.285	1963.8602	1963.767	-34.83	-277.75
10.285	10.314	1963.767	1963.6738	-34.67	-274.97
10.314	10.344	1963.6738	1963.5806	-34.5	-275.1
10.344	10.373	1963.5806	1963.4875	-34.6	-274.97
10.373	10.402	1963.4875	1963.3943	-35.15	-278.4
10.402	10.431	1963.3943	1963.3011	-35.18	-280.72
10.431	10.46	1963.3011	1963.2079	-35.16	-278.4
10.46	10.49	1963.2079	1963.1147	-34.98	-276.69
10.49	10.519	1963.1147	1963.0215	-34.62	-273.49
10.519	10.548	1963.0215	1962.9283	-34.15	-269.67
10.548	10.577	1962.9283	1962.8351	-34.07	-266.76
10.577	10.607	1962.8351	1962.7419	-34.16	-266.52
